Learning Rate=constant, Iteration=500, Training MSE = 0.5439
Learning Rate=constant, Iteration=1000, Training MSE = 0.5439
Learning Rate=constant, Iteration=2000, Training MSE = 0.5439
Learning Rate=optimal, Iteration=500, Training MSE = 0.8018
Learning Rate=optimal, Iteration=1000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=2000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=500, Training MSE = 0.8018
Learning Rate=optimal, Iteration=1000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=2000, Training MSE = 0.8018
Learning Rate=constant, Iteration=500, Training MSE = 0.5953
Learning Rate=constant, Iteration=1000, Training MSE = 0.5953
Learning Rate=constant, Iteration=2000, Training MSE = 0.5953
Learning Rate=constant, Iteration=500, Training MSE = 0.5439
Learning Rate=constant, Iteration=1000, Training MSE = 0.5439
Learning Rate=constant, Iteration=2000, Training MSE = 0.5439
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5427
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5427
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5427
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=optimal, Iteration=500, Training MSE = 0.8018
Learning Rate=optimal, Iteration=1000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=2000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=500, Training MSE = 0.8018
Learning Rate=optimal, Iteration=1000, Training MSE = 0.8018
Learning Rate=optimal, Iteration=2000, Training MSE = 0.8018
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5438
Learning Rate=constant, Iteration=500, Training MSE = 0.5952
Learning Rate=constant, Iteration=1000, Training MSE = 0.5952
Learning Rate=constant, Iteration=2000, Training MSE = 0.5952
Learning Rate=constant, Iteration=500, Training MSE = 0.5439
Learning Rate=constant, Iteration=1000, Training MSE = 0.5439
Learning Rate=constant, Iteration=2000, Training MSE = 0.5439
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=500, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=1000, Training MSE = 0.5428
Learning Rate=adaptive, Iteration=2000, Training MSE = 0.5428
Learning Rate=optimal, Iteration=500, Training MSE = 0.5687
Learning Rate=optimal, Iteration=1000, Training MSE = 0.5687
Learning Rate=optimal, Iteration=2000, Training MSE = 0.5687
Learning Rate=optimal, Iteration=500, Training MSE = 0.5687
Learning Rate=optimal, Iteration=1000, Training MSE = 0.5687
Learning Rate=optimal, Iteration=2000, Training MSE = 0.5687
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5437
Learning Rate=invscaling, Iteration=500, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=1000, Training MSE = 0.5438
Learning Rate=invscaling, Iteration=2000, Training MSE = 0.5438
Learning Rate=constant, Iteration=500, Training MSE = 0.5874
Learning Rate=constant, Iteration=1000, Training MSE = 0.5874
Learning Rate=constant, Iteration=2000, Training MSE = 0.5874
Learning Rate=constant, Iteration=500, Training MSE = 0.5448
